Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-0.447978052,0.225551102,-31.44778177,-2,-2,-2,-2,-2
-1.119357232,0.375568201,1.580069249,-2,-2,-2,-2,-2
-1.119357232,2.250781938,-31.44778177,-0.487576007,-2,-2,-2,-2
0.223401128,0.60059385,-0.701855003,0.842439017,-2,-2,-2,-2
-1.119357232,0.075534003,-31.44778177,-2,-0.172890256,-2,-2,-2
0.223401128,-0.299508744,-31.44778177,-2,0.591043435,-2,-2,-2
0.223401128,-0.149491645,-1.662665215,2.006202163,-2,2.637433811,-2,-2
-51.47279574,-23.55215908,-2,1.839950285,0.782026858,3.635004796,-2,-2
0.223401128,0.000525454,-2.203120959,0.509935261,1.927927394,2.47117198,-1.561987658,-1.661504793
-0.447978052,-0.749560041,-1.962918406,1.507446529,1.354977126,1.639862826,-1.108103469,-1.342784308
-1.119357232,-0.82456859,0.439107123,0.842439017,0.018093166,0.47603001,-1.422330985,-1.236544146
-0.447978052,-0.89957714,-0.761905641,1.507446529,0.591043435,1.639862826,-1.038275132,-1.130303984
0.223401128,-1.199611338,-2,0.676187139,-0.172890256,1.639862826,-1.038275132,-1.024063822
-1.119357232,-1.124602788,-0.761905641,1.507446529,1.354977126,1.141077333,-1.631815995,-0.970943742
0.894780308,-0.374517293,0.799410952,0.842439017,-0.363873679,2.138648318,-0.095592585,-0.917823661
0.223401128,-0.974585689,-0.46165245,1.174942773,-0.363873679,1.639862826,-1.841301006,-0.705343337
0.894780308,-0.599542942,-31.44778177,-0.653827885,1.354977126,0.47603001,-0.933532627,-0.652223256
-1.790736412,0.450576751,-1.4825133,1.174942773,-2,1.473600995,-0.898618459,-0.652223256
1.566159488,-0.074483096,0.379056485,0.343683383,-0.363873679,1.473600995,-1.247760143,-0.599103175
-0.447978052,-0.599542942,-0.221449897,-0.321324129,1.163993703,0.309768179,-0.758961785,-0.386622851
-0.447978052,-0.674551491,-0.761905641,0.509935261,-0.745840525,0.808553672,-1.596901827,-0.33350277
2.237538668,-0.524534392,-0.581753727,-0.321324129,-0.172890256,0.143506348,-1.143017637,-0.28038269
0.223401128,0.225551102,-1.362412024,1.341194651,1.927927394,0.642291841,-0.270163427,-0.227262609
-2.462115592,-0.674551491,-2.083019682,2.338705919,-0.172890256,2.803695642,-0.025764248,-0.174142528
-0.447978052,1.275670795,-0.641804365,-0.155072251,0.782026858,1.141077333,-0.130506754,-0.121022447
-0.447978052,-0.449525843,-1.122209471,1.174942773,1.927927394,0.642291841,-0.444734269,-0.014782285
1.566159488,-0.449525843,-0.221449897,-0.321324129,0.400060012,0.642291841,-0.095592585,-0.014782285
-0.447978052,-0.074483096,0.19890457,0.011179627,-0.745840525,-0.687802806,0.88200413,0.463298443
-1.119357232,-0.749560041,-0.281500536,-0.820079762,-0.554857102,0.974815503,-0.305077596,0.622658686
-0.447978052,0.000525454,0.258955208,0.343683383,0.209076589,0.47603001,0.358291604,0.675778767
0.894780308,2.175773388,-1.122209471,-0.155072251,0.782026858,-0.022755482,-2,0.941379172
0.223401128,0.825619498,0.499157761,0.842439017,-0.363873679,-0.355279144,-0.374905932,0.994499253
0.894780308,-0.299508744,-1.422462662,0.676187139,1.545960549,0.974815503,-0.339991764,0.994499253
