Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-0.447978052,1.500696443,1.940373078,-1.152583518,-0.554857102,-1.352850129,2.383313372,1.472579981
0.894780308,-0.149491645,0.619259038,-0.155072251,-1.12780737,-1.020326467,-0.270163427,0.144577958
-0.447978052,-0.89957714,-1.002108194,1.008690895,-1.700757639,0.143506348,-0.130506754,-0.652223256
0.223401128,-1.274619887,-0.46165245,0.842439017,0.400060012,-0.355279144,0.078978257,-1.183424065
1.566159488,-0.749560041,-0.942057556,0.842439017,0.400060012,0.143506348,-0.514562606,-0.28038269
0.223401128,-0.82456859,-0.521703089,1.008690895,0.591043435,-0.355279144,-0.095592585,0.83513901
0.223401128,1.500696443,-1.122209471,0.676187139,-0.363873679,-0.022755482,-0.758961785,0.144577958
-0.447978052,0.60059385,0.979562867,-0.155072251,-2,-0.189017313,1.231145814,1.4194599
-1.119357232,0.450576751,2.300676908,-0.98633164,-0.363873679,-1.352850129,2.488055877,2.747461923
-0.447978052,2.325790487,1.940373078,-0.155072251,1.736943972,-0.521540975,0.951832467,1.525700062
-0.447978052,1.200662245,1.339866696,0.842439017,-0.172890256,0.309768179,0.393205772,0.303938201
-0.447978052,-0.524534392,-1.542563938,-2,-0.363873679,-2,-2,-2
-1.790736412,-0.674551491,1.159714782,-0.155072251,0.018093166,0.143506348,-0.898618459,-0.545983094
0.223401128,3.525927279,1.580069249,-2,-0.363873679,-2,-2,-2
-0.447978052,1.050645146,0.439107123,-0.820079762,-0.554857102,-0.854064637,-0.270163427,0.038337796
0.894780308,0.075534003,0.919512229,-2,0.400060012,-2,-2,-2
-1.119357232,-1.199611338,-0.701855003,1.839950285,-0.172890256,1.307339164,-1.177931806,-1.44902447
-1.119357232,-1.424636986,0.919512229,-0.820079762,-1.509774216,-0.854064637,0.148806594,0.410178362
-0.447978052,0.225551102,0.619259038,-0.98633164,0.209076589,-0.687802806,0.078978257,0.197698039
0.894780308,1.425687894,2.120524993,-0.820079762,-0.745840525,-1.186588298,1.231145814,2.269381195
-1.119357232,-1.124602788,0.799410952,-0.653827885,-1.12780737,-0.521540975,-1.073189301,0.941379172
0.223401128,0.825619498,-0.942057556,-2,-2,-2,-2,-2
-1.790736412,-0.449525843,0.619259038,-1.152583518,-0.363873679,-1.685373791,-2,-2
0.223401128,0.300559652,2.480828822,-1.983842908,-1.509774216,-0.687802806,2.383313372,0.569538605
0.223401128,0.450576751,0.799410952,-0.321324129,-0.363873679,-0.355279144,0.253549099,0.675778767
