Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-2.456747249,-0.699401755,-0.271251251,0.864808578,1.451492906,-0.379773444,-1.167547048,-1.631215809
1.611101312,1.87661263,1.715550873,1.544594719,0.453054738,1.286213834,-0.032977247,0.325541815
0.255151791,-1.167768007,-0.933518626,1.204701649,-1.14444633,0.619818923,-1.238457661,-1.25073516
0.255151791,0.237330749,0.631840623,0.015075902,-0.944758696,-1.545964538,0.144299284,0.706022464
-0.422822969,-1.323890091,-1.595786001,0.864808578,0.253367105,1.952608745,0.073388672,-0.652836997
-0.422822969,-0.465218629,-1.535579876,0.694862043,0.852430006,0.953016378,-1.62846603,-1.25073516
-0.422822969,-1.011645923,-2.378465626,1.204701649,0.453054738,0.453220195,-1.380278886,-0.381065105
-0.422822969,-0.152974461,0.571634498,1.034755113,0.453054738,0.78641765,0.56976296,0.923439978
0.933126552,0.003147623,0.451222249,1.204701649,-1.743509231,-0.213174716,0.17975459,0.379896193
0.255151791,-1.089706965,0.210397749,-0.154870633,-0.146008162,-0.7129709,-0.848449292,-0.272356348
-1.778772489,-0.621340713,1.173695748,-0.154870633,0.053679471,0.120022739,-0.883904598,-0.54412824
-0.422822969,0.861819084,1.233901873,-1.854335985,-1.943196864,-2.878754361,0.463397041,0.542959329
1.611101312,1.642429504,-0.451869626,0.694862043,0.453054738,1.619411289,1.562511536,0.706022464
-0.422822969,-0.621340713,-0.993724751,0.524915508,0.253367105,0.619818923,0.037933365,-0.272356348
-1.778772489,-0.543279671,1.595138623,-0.494763703,0.652742372,-1.046168355,-0.458440923,-0.652836997
0.255151791,-0.231035503,-0.692694126,1.374648184,-1.543821597,0.453220195,-0.600262148,-0.54412824
1.611101312,-0.152974461,-0.150839001,0.354968973,0.453054738,0.453220195,-1.91210848,-1.631215809
0.255151791,0.315391791,1.835963123,-2.02428252,0.053679471,-0.879569627,-0.281164391,0.923439978
0.255151791,0.783758043,0.752252873,1.544594719,-0.944758696,-0.546372172,1.349779698,1.466983762
-1.100797729,-0.309096545,0.029779374,-0.154870633,-0.545383429,1.452812562,0.605218266,1.847464411
-0.422822969,-1.089706965,1.113489623,-0.154870633,-1.14444633,0.619818923,0.711584185,0.16247868
-0.422822969,0.159269707,0.932871248,0.185022438,-1.743509231,-1.379365811,0.888860716,-0.000584456
1.611101312,0.549574917,1.294107998,-1.004603309,-0.345695796,-0.379773444,0.747039491,2.499716952
-1.100797729,-0.152974461,-0.331457376,-0.664710238,0.652742372,0.120022739,0.711584185,0.108124301
0.255151791,-0.777462797,0.150191624,1.714541254,-1.743509231,0.619818923,-0.600262148,-0.435419483
-1.100797729,-0.777462797,0.692046748,0.694862043,0.652742372,0.453220195,0.56976296,0.216833058
0.255151791,-0.465218629,-1.415167626,0.524915508,-1.543821597,1.119615106,-0.316619698,-1.142026403
-1.100797729,-0.387157587,0.029779374,0.524915508,-1.344133963,0.619818923,0.959771329,-0.652836997
0.255151791,0.159269707,-0.451869626,-0.154870633,-0.146008162,0.953016378,0.463397041,0.053769923
-0.422822969,1.48630742,0.150191624,0.185022438,0.453054738,-0.879569627,-0.032977247,0.108124301
0.933126552,0.237330749,-0.331457376,-0.324817168,-0.745071063,0.120022739,-0.316619698,1.358275005
-0.422822969,-0.855523839,-0.993724751,1.034755113,-1.743509231,0.120022739,-0.10388786,-0.652836997
-1.100797729,-1.167768007,-0.692694126,1.884487789,-0.146008162,1.286213834,-1.167547048,-1.468152673
0.933126552,-0.309096545,-0.391663501,-0.834656774,-0.545383429,1.452812562,0.640673572,0.434250572
-0.422822969,-0.933584881,-0.933518626,1.374648184,1.65118054,0.120022739,-1.025725823,-1.631215809
-0.422822969,-0.543279671,-0.331457376,0.015075902,0.053679471,0.953016378,-1.770287255,-1.468152673
0.933126552,0.081208665,-0.572281876,-0.494763703,0.852430006,0.120022739,-1.273912967,0.434250572
-1.100797729,0.315391791,-0.873312501,0.185022438,1.850868173,-0.7129709,1.207958473,0.706022464
-1.100797729,0.549574917,-0.572281876,-1.174549844,0.453054738,-0.213174716,1.527056229,0.923439978
1.611101312,-0.777462797,-0.211045126,-2.02428252,-0.545383429,0.953016378,-0.812993986,-0.381065105
0.933126552,0.471513875,1.053283498,-0.154870633,1.052117639,0.453220195,0.640673572,-0.218001969
-1.100797729,0.081208665,-1.475373751,-0.664710238,1.052117639,0.953016378,-1.699376643,0.216833058
0.933126552,0.081208665,-2.92032075,1.204701649,1.65118054,-0.213174716,-0.742083373,-0.054938834
0.255151791,0.081208665,-0.211045126,-0.324817168,0.053679471,-0.7129709,-0.316619698,0.271187436
1.611101312,0.939880126,1.655344748,1.884487789,0.053679471,-0.379773444,-0.600262148,-0.218001969
0.255151791,0.003147623,-0.512075751,0.694862043,0.852430006,1.619411289,-1.096636436,-0.381065105
0.255151791,0.783758043,0.270603874,-1.68438945,0.053679471,-0.879569627,1.597966842,1.630046897
-1.100797729,-0.543279671,0.993077373,0.015075902,1.65118054,-0.213174716,-0.245709085,0.597313707
0.255151791,2.188856798,-0.090632876,-1.004603309,1.052117639,1.119615106,0.427941734,-0.109293213
0.255151791,1.642429504,-1.114137001,0.694862043,-0.345695796,-0.046575988,-0.742083373,0.16247868
0.255151791,0.549574917,1.113489623,0.015075902,0.053679471,0.619818923,0.17975459,-0.761545754
-0.422822969,0.627635959,-0.030426751,1.374648184,0.053679471,-0.546372172,0.676128878,1.086503113
-0.422822969,-0.777462797,0.089985499,0.185022438,-0.944758696,0.953016378,-0.777538679,-1.631215809
0.255151791,0.081208665,-0.451869626,0.354968973,-0.944758696,0.619818923,0.747039491,-0.000584456
0.255151791,0.159269707,-0.451869626,-1.004603309,0.453054738,0.953016378,0.782494797,2.391008195
-1.100797729,-0.777462797,-2.438671751,1.034755113,0.253367105,0.619818923,-1.699376643,-1.087672024
-0.422822969,0.939880126,-0.692694126,1.374648184,0.253367105,0.120022739,0.17975459,1.086503113
0.933126552,0.159269707,2.317612123,-0.324817168,-0.944758696,-0.879569627,1.101592554,1.19521187
0.933126552,1.017941168,0.872665123,0.185022438,1.451492906,-1.046168355,0.392486428,-0.000584456
-1.100797729,2.423039924,0.631840623,0.185022438,0.053679471,-0.7129709,-0.139343166,-0.870254511
-0.422822969,-0.933584881,-0.813106376,0.524915508,-0.345695796,1.119615106,-0.706628067,-0.54412824
0.255151791,0.471513875,1.715550873,-2.02428252,-1.344133963,-2.045760722,1.597966842,1.793110033
-1.100797729,0.081208665,-0.813106376,0.694862043,0.652742372,0.286621467,-0.139343166,-0.218001969
-1.100797729,-0.309096545,-0.150839001,1.204701649,0.053679471,0.453220195,0.959771329,-0.598482618
0.933126552,0.159269707,-0.632488001,-1.174549844,-0.944758696,0.120022739,0.56976296,0.814731221
-2.456747249,0.237330749,0.210397749,1.374648184,-0.345695796,0.120022739,0.286120509,-0.489773862
-1.778772489,2.344978882,1.113489623,-1.344496379,0.253367105,-2.212359449,1.349779698,0.271187436
0.255151791,-0.387157587,0.270603874,0.864808578,0.453054738,-0.046575988,-0.458440923,-0.326710726
-0.422822969,-1.323890091,0.391016124,0.694862043,0.053679471,1.786010017,-1.203002355,-0.815900132
0.255151791,-1.245829049,-0.451869626,0.864808578,0.453054738,-0.379773444,0.108843978,-1.196380781
0.933126552,2.501100966,-0.933518626,-1.68438945,1.052117639,-1.545964538,1.207958473,1.630046897
0.255151791,0.159269707,0.270603874,-1.854335985,-0.545383429,0.619818923,-1.132091742,-0.109293213
0.255151791,-0.387157587,0.330809999,-0.494763703,0.453054738,0.619818923,-1.203002355,-0.272356348
0.255151791,1.252124294,0.752252873,-1.004603309,-0.146008162,-1.879161994,-0.316619698,0.706022464
1.611101312,0.705697001,2.136993748,-0.324817168,-0.944758696,-1.046168355,-0.281164391,0.760376842
0.255151791,-0.465218629,-0.692694126,0.864808578,0.053679471,0.286621467,0.286120509,-0.326710726
-0.422822969,0.003147623,1.113489623,-1.514442914,-0.545383429,-0.213174716,1.243413779,1.032148735
-0.422822969,1.174063252,0.451222249,-0.834656774,-0.545383429,-0.879569627,-0.245709085,0.053769923
-0.422822969,0.549574917,0.692046748,-0.154870633,0.652742372,1.452812562,0.392486428,-0.598482618
-1.100797729,-1.245829049,1.173695748,0.015075902,0.253367105,-0.213174716,1.668877455,-0.761545754
-1.100797729,-0.933584881,-0.632488001,0.185022438,-0.545383429,-0.046575988,-1.132091742,0.216833058
0.255151791,-1.011645923,0.752252873,-1.344496379,-0.345695796,-0.379773444,-0.742083373,-0.598482618
-1.100797729,-0.387157587,0.270603874,1.374648184,-0.545383429,0.453220195,-0.706628067,-0.109293213
0.933126552,-0.543279671,0.391016124,1.204701649,-2.342572131,-0.213174716,-0.174798472,-0.109293213
-1.100797729,-0.231035503,0.752252873,-0.834656774,0.652742372,-1.712563266,-0.635717454,-0.435419483
-0.422822969,1.642429504,1.956375373,-1.174549844,-0.545383429,-1.379365811,2.448894193,1.521338141
-0.422822969,-1.089706965,-1.114137001,1.374648184,-0.944758696,1.286213834,-1.273912967,-0.652836997
0.255151791,-1.011645923,0.451222249,0.185022438,-0.146008162,0.120022739,-0.67117276,-0.381065105
-0.422822969,0.471513875,-1.053930876,0.354968973,0.652742372,0.453220195,-1.025725823,-1.305089538
-0.422822969,-1.089706965,-0.331457376,-1.004603309,0.453054738,-0.213174716,-0.316619698,0.216833058
0.255151791,0.237330749,0.511428373,0.354968973,1.65118054,-0.7129709,-1.734831949,-0.761545754
0.933126552,-0.231035503,0.150191624,-0.154870633,-0.745071063,-1.046168355,1.101592554,1.466983762
0.933126552,0.081208665,0.210397749,-0.834656774,-0.146008162,-0.379773444,-0.352075004,0.271187436
0.255151791,-0.855523839,-0.933518626,0.354968973,-0.146008162,1.619411289,-1.06118113,-1.359443917
0.933126552,0.159269707,1.474726373,0.015075902,-0.745071063,0.120022739,0.073388672,0.869085599
-0.422822969,0.159269707,-0.331457376,-0.664710238,0.253367105,-0.879569627,0.17975459,0.760376842
0.255151791,-0.777462797,-0.331457376,-0.664710238,-3.341010299,1.119615106,-0.493896229,-0.272356348
-0.422822969,-0.621340713,-0.451869626,2.22438086,-0.146008162,0.78641765,1.030681941,0.108124301
0.255151791,-0.152974461,-1.415167626,-1.004603309,-0.345695796,-0.379773444,-0.10388786,1.630046897
0.255151791,0.627635959,-0.331457376,-0.154870633,-0.545383429,-0.879569627,-1.273912967,-0.381065105
-0.422822969,1.642429504,0.692046748,-0.154870633,0.053679471,-0.879569627,0.888860716,0.325541815
-1.778772489,-0.465218629,-0.632488001,1.544594719,0.652742372,0.953016378,-0.848449292,-1.902987701
0.255151791,-0.074913419,-1.776404376,2.394327395,-1.344133963,1.952608745,-0.954815211,0.434250572
-1.100797729,-0.777462797,-1.415167626,-1.344496379,0.453054738,-0.379773444,-1.203002355,0.434250572
0.933126552,1.954673672,0.210397749,1.204701649,0.053679471,1.119615106,0.56976296,0.48860495
-0.422822969,-0.855523839,-0.632488001,-0.834656774,1.052117639,-0.046575988,-0.990270517,-0.272356348
0.933126552,0.861819084,-0.271251251,0.524915508,-0.745071063,1.452812562,-1.451189499,-0.924608889
